"label","text"
"alp","健兆"
"alw","莉咏"
"bev","俞正"
"bey","俞司廷"
"boa","曹谷"
"boc","曹卖"
"bpt","星薇"
"chm","龙山先生"
"chy","龙克斯"
"cml","骆岚"
"dga","警察叔叔"
"dgb","警察叔叔"
"doc","陆德里"
"dod","莫里"
"fox","狐利"
"fsl","博陆恩"
"grf","葛瑞斯"
"gst","幽幽"
"gul","吕游"
"hgc","绵儿"
"hgh","绢儿"
"hgs","麻儿"
"kpg","阿玉婆婆"
"kpm","沽玉"
"kpp","航平"
"kps","沽沽"
"lom","咪露"
"mka","无脸猫"
"mnk","车长叔叔"
"mob","开关叔叔"
"mol","电源叔叔"
"otg","巧美"
"ott","阿本先生"
"owl","傅达"
"ows","傅珂"
"pck","阿欢"
"pge","老板"
"pkn","南瓜王"
"plk","宋信子"
"plm","宋信美"
"plo","程信雄"
"poo","刀丽茹"
"pyn","蹦蹦"
"rcm","豆狸"
"rco","狸克"
"rct","粒狸"
"rei","铃铃鹿"
"seo","阿獭"
"skk","薛革"
"slo","然然"
"spn","巴猎"
"sza","西施惠"
"szo","西施德"
"tap","梦美"
"tkkA","K.K."
"tkkB","DJ KK"
"ttlA","寿伯"
"tuk","富蓝"
"upa","笑匠"
"wrl","海项"
"xct","陌陌"
